cluster_name,claude_pct,api_pct,difference
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.0051840654270529,0.0068809427526735,-0.0016968773256206002
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.0016589009366569,0.0105860657733438,-0.008927164836686902
adapt instructional content or delivery methods for different levels or types of learners.,0.05287746735594,0.0176787298414842,0.0351987375144558
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.0119233504822217,0.0041285656516041,0.007794784830617599
adapt text to accommodate musical requirements of composers and singers.,0.0116123065565985,0.0038109836784037,0.007801322878194799
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.0072576915978741,0.0046578689402713,0.0025998226576028002
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.1073101543399958,0.0504955337388502,0.0568146206011456
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.0030067579476907,0.0068809427526735,-0.0038741848049828
"administer highway planning, construction, or maintenance.",0.003628845798937,0.0038109836784037,-0.00018213787946670017
administer online purchasing systems.,0.005391428044135,0.0250889758828249,-0.019697547838689898
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.0046656588843476,0.0101626231424101,-0.0054969642580625
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.0232246131131971,0.0017996311814684,0.0214249819317287
"administer, proctor, or score academic or diagnostic assessments.",0.0191810420800958,0.0449907795367114,-0.0258097374566156
advise and teach students.,0.0185589542288495,0.001693770523735,0.0168651837051145
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.0087092299174489,0.0041285656516041,0.0045806642658448
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.0349406009783368,0.0042344263093375,0.030706174668999303
advise clients on how they could be helped by counseling.,0.0568173570805002,0.0194783610229527,0.03733899605754751
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.0889585627282284,0.0245596725941577,0.0643988901340707
advise corporations on issues involving corporate image projects or problems.,0.0104718121626469,0.0851119688176846,-0.0746401566550377
advise customer about or perform maintenance of software system.,0.0045619775758065,0.0021172131546687,0.0024447644211378
"advise customers concerning equipment operation, maintenance, or programming.",0.0079834607576615,0.0021172131546687,0.005866247602992801
advise customers of necessary actions and strategies for debt repayment.,0.0064282411295456,0.0034934017052034,0.0029348394243422
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.051218566419283,0.0063516394640063,0.0448669269552767
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",0.001762582245198,0.0056106148598722,-0.0038480326146742
advise or assist in obtaining patents or meeting other legal requirements.,0.0184552729203084,0.0028582377588028,0.015597035161505601
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.0210473056338349,0.0093157378805426,0.0117315677532923
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.0580615327829929,0.0023289344701356,0.0557325983128573
advise students on academic and vocational curricula and career issues.,0.0238467009644435,0.0023289344701356,0.0215177664943079
advise students on academic and vocational curricula and on career issues.,0.0742358169153981,0.0088922952496088,0.0653435216657893
